layer,dialect,ProtoAcc_EN_dialect
0,afr_Latn,0.26
0,ben_Beng,0.26
0,eng_Latn,0.26
0,fra_Latn,0.26
0,hin_Deva,0.26
0,spa_Latn,0.26
0,swh_Latn,0.26
0,urd_Latn,0.26
0,yor_Latn,0.26
1,afr_Latn,0.2
1,ben_Beng,0.2
1,eng_Latn,0.2
1,fra_Latn,0.2
1,hin_Deva,0.2
1,spa_Latn,0.2
1,swh_Latn,0.2
1,urd_Latn,0.2
1,yor_Latn,0.2
2,afr_Latn,0.25
2,ben_Beng,0.26
2,eng_Latn,0.27
2,fra_Latn,0.26
2,hin_Deva,0.2
2,spa_Latn,0.26
2,swh_Latn,0.22
2,urd_Latn,0.25
2,yor_Latn,0.23
3,afr_Latn,0.25
3,ben_Beng,0.25
3,eng_Latn,0.25
3,fra_Latn,0.25
3,hin_Deva,0.25
3,spa_Latn,0.25
3,swh_Latn,0.25
3,urd_Latn,0.25
3,yor_Latn,0.25
4,afr_Latn,0.25
4,ben_Beng,0.25
4,eng_Latn,0.25
4,fra_Latn,0.25
4,hin_Deva,0.25
4,spa_Latn,0.25
4,swh_Latn,0.25
4,urd_Latn,0.25
4,yor_Latn,0.25
5,afr_Latn,0.2
5,ben_Beng,0.2
5,eng_Latn,0.2
5,fra_Latn,0.2
5,hin_Deva,0.2
5,spa_Latn,0.2
5,swh_Latn,0.2
5,urd_Latn,0.2
5,yor_Latn,0.2
6,afr_Latn,0.2
6,ben_Beng,0.2
6,eng_Latn,0.2
6,fra_Latn,0.2
6,hin_Deva,0.2
6,spa_Latn,0.2
6,swh_Latn,0.2
6,urd_Latn,0.2
6,yor_Latn,0.2
7,afr_Latn,0.2
7,ben_Beng,0.2
7,eng_Latn,0.2
7,fra_Latn,0.22
7,hin_Deva,0.2
7,spa_Latn,0.2
7,swh_Latn,0.2
7,urd_Latn,0.21
7,yor_Latn,0.2
8,afr_Latn,0.25
8,ben_Beng,0.25
8,eng_Latn,0.25
8,fra_Latn,0.25
8,hin_Deva,0.25
8,spa_Latn,0.25
8,swh_Latn,0.25
8,urd_Latn,0.25
8,yor_Latn,0.25
9,afr_Latn,0.25
9,ben_Beng,0.25
9,eng_Latn,0.25
9,fra_Latn,0.25
9,hin_Deva,0.25
9,spa_Latn,0.25
9,swh_Latn,0.25
9,urd_Latn,0.25
9,yor_Latn,0.25
10,afr_Latn,0.25
10,ben_Beng,0.25
10,eng_Latn,0.25
10,fra_Latn,0.25
10,hin_Deva,0.25
10,spa_Latn,0.25
10,swh_Latn,0.25
10,urd_Latn,0.25
10,yor_Latn,0.25
11,afr_Latn,0.19
11,ben_Beng,0.25
11,eng_Latn,0.17
11,fra_Latn,0.18
11,hin_Deva,0.26
11,spa_Latn,0.15
11,swh_Latn,0.18
11,urd_Latn,0.18
11,yor_Latn,0.18
12,afr_Latn,0.25
12,ben_Beng,0.25
12,eng_Latn,0.25
12,fra_Latn,0.25
12,hin_Deva,0.25
12,spa_Latn,0.25
12,swh_Latn,0.25
12,urd_Latn,0.25
12,yor_Latn,0.25
13,afr_Latn,0.2
13,ben_Beng,0.2
13,eng_Latn,0.2
13,fra_Latn,0.2
13,hin_Deva,0.17
13,spa_Latn,0.19
13,swh_Latn,0.19
13,urd_Latn,0.2
13,yor_Latn,0.19
14,afr_Latn,0.25
14,ben_Beng,0.25
14,eng_Latn,0.24
14,fra_Latn,0.24
14,hin_Deva,0.24
14,spa_Latn,0.26
14,swh_Latn,0.27
14,urd_Latn,0.27
14,yor_Latn,0.25
15,afr_Latn,0.27
15,ben_Beng,0.29
15,eng_Latn,0.27
15,fra_Latn,0.28
15,hin_Deva,0.32
15,spa_Latn,0.3
15,swh_Latn,0.28
15,urd_Latn,0.3
15,yor_Latn,0.24
16,afr_Latn,0.23
16,ben_Beng,0.26
16,eng_Latn,0.24
16,fra_Latn,0.26
16,hin_Deva,0.22
16,spa_Latn,0.25
16,swh_Latn,0.21
16,urd_Latn,0.2
16,yor_Latn,0.21
17,afr_Latn,0.27
17,ben_Beng,0.24
17,eng_Latn,0.24
17,fra_Latn,0.3
17,hin_Deva,0.24
17,spa_Latn,0.23
17,swh_Latn,0.28
17,urd_Latn,0.26
17,yor_Latn,0.27
18,afr_Latn,0.45
18,ben_Beng,0.54
18,eng_Latn,0.63
18,fra_Latn,0.54
18,hin_Deva,0.47
18,spa_Latn,0.63
18,swh_Latn,0.42
18,urd_Latn,0.34
18,yor_Latn,0.28
19,afr_Latn,0.5
19,ben_Beng,0.59
19,eng_Latn,0.65
19,fra_Latn,0.59
19,hin_Deva,0.48
19,spa_Latn,0.6
19,swh_Latn,0.42
19,urd_Latn,0.37
19,yor_Latn,0.25
20,afr_Latn,0.5
20,ben_Beng,0.59
20,eng_Latn,0.63
20,fra_Latn,0.6
20,hin_Deva,0.5
20,spa_Latn,0.59
20,swh_Latn,0.39
20,urd_Latn,0.35
20,yor_Latn,0.21
21,afr_Latn,0.48
21,ben_Beng,0.51
21,eng_Latn,0.62
21,fra_Latn,0.54
21,hin_Deva,0.45
21,spa_Latn,0.56
21,swh_Latn,0.38
21,urd_Latn,0.34
21,yor_Latn,0.26
22,afr_Latn,0.44
22,ben_Beng,0.5
22,eng_Latn,0.52
22,fra_Latn,0.47
22,hin_Deva,0.44
22,spa_Latn,0.47
22,swh_Latn,0.36
22,urd_Latn,0.35
22,yor_Latn,0.27
23,afr_Latn,0.49
23,ben_Beng,0.59
23,eng_Latn,0.62
23,fra_Latn,0.56
23,hin_Deva,0.58
23,spa_Latn,0.54
23,swh_Latn,0.39
23,urd_Latn,0.33
23,yor_Latn,0.22
24,afr_Latn,0.48
24,ben_Beng,0.62
24,eng_Latn,0.62
24,fra_Latn,0.58
24,hin_Deva,0.55
24,spa_Latn,0.61
24,swh_Latn,0.42
24,urd_Latn,0.35
24,yor_Latn,0.25
25,afr_Latn,0.49
25,ben_Beng,0.6
25,eng_Latn,0.63
25,fra_Latn,0.59
25,hin_Deva,0.6
25,spa_Latn,0.65
25,swh_Latn,0.43
25,urd_Latn,0.38
25,yor_Latn,0.29
26,afr_Latn,0.5
26,ben_Beng,0.64
26,eng_Latn,0.72
26,fra_Latn,0.61
26,hin_Deva,0.6
26,spa_Latn,0.66
26,swh_Latn,0.5
26,urd_Latn,0.39
26,yor_Latn,0.3
27,afr_Latn,0.5
27,ben_Beng,0.63
27,eng_Latn,0.68
27,fra_Latn,0.62
27,hin_Deva,0.59
27,spa_Latn,0.67
27,swh_Latn,0.5
27,urd_Latn,0.38
27,yor_Latn,0.29
28,afr_Latn,0.49
28,ben_Beng,0.61
28,eng_Latn,0.68
28,fra_Latn,0.61
28,hin_Deva,0.62
28,spa_Latn,0.63
28,swh_Latn,0.46
28,urd_Latn,0.38
28,yor_Latn,0.26
29,afr_Latn,0.51
29,ben_Beng,0.62
29,eng_Latn,0.67
29,fra_Latn,0.61
29,hin_Deva,0.64
29,spa_Latn,0.66
29,swh_Latn,0.45
29,urd_Latn,0.39
29,yor_Latn,0.22
30,afr_Latn,0.5
30,ben_Beng,0.61
30,eng_Latn,0.59
30,fra_Latn,0.56
30,hin_Deva,0.63
30,spa_Latn,0.59
30,swh_Latn,0.43
30,urd_Latn,0.35
30,yor_Latn,0.23
31,afr_Latn,0.46
31,ben_Beng,0.57
31,eng_Latn,0.54
31,fra_Latn,0.54
31,hin_Deva,0.56
31,spa_Latn,0.57
31,swh_Latn,0.35
31,urd_Latn,0.29
31,yor_Latn,0.23
32,afr_Latn,0.47
32,ben_Beng,0.58
32,eng_Latn,0.53
32,fra_Latn,0.53
32,hin_Deva,0.55
32,spa_Latn,0.51
32,swh_Latn,0.33
32,urd_Latn,0.28
32,yor_Latn,0.21
