layer,dialect,ProtoAcc_TEN_dialect
0,afr_Latn,0.26
0,ben_Beng,0.26
0,eng_Latn,0.26
0,fra_Latn,0.26
0,hin_Deva,0.26
0,spa_Latn,0.26
0,swh_Latn,0.26
0,urd_Latn,0.26
0,yor_Latn,0.26
1,afr_Latn,0.2
1,ben_Beng,0.2
1,eng_Latn,0.2
1,fra_Latn,0.2
1,hin_Deva,0.2
1,spa_Latn,0.2
1,swh_Latn,0.2
1,urd_Latn,0.2
1,yor_Latn,0.2
2,afr_Latn,0.26
2,ben_Beng,0.25
2,eng_Latn,0.25
2,fra_Latn,0.26
2,hin_Deva,0.23
2,spa_Latn,0.25
2,swh_Latn,0.21
2,urd_Latn,0.29
2,yor_Latn,0.26
3,afr_Latn,0.25
3,ben_Beng,0.25
3,eng_Latn,0.26
3,fra_Latn,0.25
3,hin_Deva,0.25
3,spa_Latn,0.25
3,swh_Latn,0.25
3,urd_Latn,0.25
3,yor_Latn,0.25
4,afr_Latn,0.25
4,ben_Beng,0.25
4,eng_Latn,0.25
4,fra_Latn,0.25
4,hin_Deva,0.25
4,spa_Latn,0.25
4,swh_Latn,0.25
4,urd_Latn,0.25
4,yor_Latn,0.25
5,afr_Latn,0.2
5,ben_Beng,0.2
5,eng_Latn,0.2
5,fra_Latn,0.2
5,hin_Deva,0.2
5,spa_Latn,0.2
5,swh_Latn,0.2
5,urd_Latn,0.2
5,yor_Latn,0.2
6,afr_Latn,0.2
6,ben_Beng,0.2
6,eng_Latn,0.2
6,fra_Latn,0.2
6,hin_Deva,0.2
6,spa_Latn,0.2
6,swh_Latn,0.2
6,urd_Latn,0.2
6,yor_Latn,0.2
7,afr_Latn,0.2
7,ben_Beng,0.2
7,eng_Latn,0.2
7,fra_Latn,0.19
7,hin_Deva,0.2
7,spa_Latn,0.2
7,swh_Latn,0.2
7,urd_Latn,0.2
7,yor_Latn,0.2
8,afr_Latn,0.25
8,ben_Beng,0.25
8,eng_Latn,0.25
8,fra_Latn,0.25
8,hin_Deva,0.25
8,spa_Latn,0.25
8,swh_Latn,0.25
8,urd_Latn,0.25
8,yor_Latn,0.25
9,afr_Latn,0.25
9,ben_Beng,0.25
9,eng_Latn,0.25
9,fra_Latn,0.25
9,hin_Deva,0.25
9,spa_Latn,0.25
9,swh_Latn,0.25
9,urd_Latn,0.25
9,yor_Latn,0.25
10,afr_Latn,0.25
10,ben_Beng,0.25
10,eng_Latn,0.25
10,fra_Latn,0.25
10,hin_Deva,0.25
10,spa_Latn,0.25
10,swh_Latn,0.25
10,urd_Latn,0.25
10,yor_Latn,0.25
11,afr_Latn,0.19
11,ben_Beng,0.25
11,eng_Latn,0.2
11,fra_Latn,0.19
11,hin_Deva,0.2
11,spa_Latn,0.2
11,swh_Latn,0.15
11,urd_Latn,0.23
11,yor_Latn,0.19
12,afr_Latn,0.24
12,ben_Beng,0.25
12,eng_Latn,0.25
12,fra_Latn,0.25
12,hin_Deva,0.25
12,spa_Latn,0.26
12,swh_Latn,0.25
12,urd_Latn,0.25
12,yor_Latn,0.25
13,afr_Latn,0.2
13,ben_Beng,0.21
13,eng_Latn,0.2
13,fra_Latn,0.2
13,hin_Deva,0.21
13,spa_Latn,0.2
13,swh_Latn,0.2
13,urd_Latn,0.2
13,yor_Latn,0.2
14,afr_Latn,0.2
14,ben_Beng,0.25
14,eng_Latn,0.26
14,fra_Latn,0.17
14,hin_Deva,0.26
14,spa_Latn,0.26
14,swh_Latn,0.23
14,urd_Latn,0.2
14,yor_Latn,0.2
15,afr_Latn,0.27
15,ben_Beng,0.28
15,eng_Latn,0.25
15,fra_Latn,0.28
15,hin_Deva,0.33
15,spa_Latn,0.31
15,swh_Latn,0.24
15,urd_Latn,0.27
15,yor_Latn,0.23
16,afr_Latn,0.25
16,ben_Beng,0.27
16,eng_Latn,0.26
16,fra_Latn,0.22
16,hin_Deva,0.26
16,spa_Latn,0.21
16,swh_Latn,0.2
16,urd_Latn,0.21
16,yor_Latn,0.18
17,afr_Latn,0.3
17,ben_Beng,0.27
17,eng_Latn,0.33
17,fra_Latn,0.33
17,hin_Deva,0.3
17,spa_Latn,0.26
17,swh_Latn,0.28
17,urd_Latn,0.28
17,yor_Latn,0.34
18,afr_Latn,0.41
18,ben_Beng,0.44
18,eng_Latn,0.58
18,fra_Latn,0.5
18,hin_Deva,0.43
18,spa_Latn,0.51
18,swh_Latn,0.38
18,urd_Latn,0.28
18,yor_Latn,0.27
19,afr_Latn,0.56
19,ben_Beng,0.6
19,eng_Latn,0.7
19,fra_Latn,0.62
19,hin_Deva,0.49
19,spa_Latn,0.62
19,swh_Latn,0.45
19,urd_Latn,0.43
19,yor_Latn,0.31
20,afr_Latn,0.57
20,ben_Beng,0.53
20,eng_Latn,0.67
20,fra_Latn,0.61
20,hin_Deva,0.54
20,spa_Latn,0.64
20,swh_Latn,0.51
20,urd_Latn,0.49
20,yor_Latn,0.32
21,afr_Latn,0.54
21,ben_Beng,0.49
21,eng_Latn,0.66
21,fra_Latn,0.58
21,hin_Deva,0.48
21,spa_Latn,0.59
21,swh_Latn,0.51
21,urd_Latn,0.41
21,yor_Latn,0.33
22,afr_Latn,0.42
22,ben_Beng,0.52
22,eng_Latn,0.63
22,fra_Latn,0.47
22,hin_Deva,0.47
22,spa_Latn,0.52
22,swh_Latn,0.43
22,urd_Latn,0.34
22,yor_Latn,0.31
23,afr_Latn,0.5
23,ben_Beng,0.5
23,eng_Latn,0.6
23,fra_Latn,0.57
23,hin_Deva,0.5
23,spa_Latn,0.56
23,swh_Latn,0.45
23,urd_Latn,0.31
23,yor_Latn,0.27
24,afr_Latn,0.52
24,ben_Beng,0.52
24,eng_Latn,0.63
24,fra_Latn,0.55
24,hin_Deva,0.55
24,spa_Latn,0.61
24,swh_Latn,0.47
24,urd_Latn,0.34
24,yor_Latn,0.31
25,afr_Latn,0.55
25,ben_Beng,0.5
25,eng_Latn,0.68
25,fra_Latn,0.6
25,hin_Deva,0.58
25,spa_Latn,0.67
25,swh_Latn,0.51
25,urd_Latn,0.36
25,yor_Latn,0.32
26,afr_Latn,0.57
26,ben_Beng,0.55
26,eng_Latn,0.71
26,fra_Latn,0.66
26,hin_Deva,0.55
26,spa_Latn,0.69
26,swh_Latn,0.56
26,urd_Latn,0.36
26,yor_Latn,0.36
27,afr_Latn,0.56
27,ben_Beng,0.55
27,eng_Latn,0.68
27,fra_Latn,0.66
27,hin_Deva,0.55
27,spa_Latn,0.7
27,swh_Latn,0.57
27,urd_Latn,0.34
27,yor_Latn,0.34
28,afr_Latn,0.52
28,ben_Beng,0.56
28,eng_Latn,0.68
28,fra_Latn,0.61
28,hin_Deva,0.54
28,spa_Latn,0.69
28,swh_Latn,0.51
28,urd_Latn,0.34
28,yor_Latn,0.32
29,afr_Latn,0.53
29,ben_Beng,0.58
29,eng_Latn,0.65
29,fra_Latn,0.64
29,hin_Deva,0.62
29,spa_Latn,0.71
29,swh_Latn,0.48
29,urd_Latn,0.36
29,yor_Latn,0.29
30,afr_Latn,0.54
30,ben_Beng,0.56
30,eng_Latn,0.64
30,fra_Latn,0.55
30,hin_Deva,0.6
30,spa_Latn,0.61
30,swh_Latn,0.48
30,urd_Latn,0.37
30,yor_Latn,0.28
31,afr_Latn,0.47
31,ben_Beng,0.41
31,eng_Latn,0.52
31,fra_Latn,0.5
31,hin_Deva,0.51
31,spa_Latn,0.51
31,swh_Latn,0.4
31,urd_Latn,0.28
31,yor_Latn,0.26
32,afr_Latn,0.45
32,ben_Beng,0.39
32,eng_Latn,0.52
32,fra_Latn,0.46
32,hin_Deva,0.49
32,spa_Latn,0.47
32,swh_Latn,0.39
32,urd_Latn,0.27
32,yor_Latn,0.23
